"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id","category_name"
"ecJdOePNd5E","HIDING As 1 COLOR in Meccha Chameleon!","Caylus  ","2026-06-19T20:06:30Z","156134","5029","482","20","Gaming"
"sAS6YerPP-8","Tom MacDonald - ""Remember Who You Are""","Tom MacDonald","2026-06-19T15:59:07Z","414917","49304","5005","10","Music"
"BGYAf9-ZQxU","GTA VI: What Happens NEXT? (TRAILER 3, Pre-Orders & MORE!)","Project Vice  ","2026-06-19T12:03:12Z","15401","653","95","24","Entertainment"
"rZRvG9rJ0G0","Episode 9..","steak","2026-06-19T23:32:36Z","386514","15240","426","20","Gaming"
"d1ATtu2GP_g","French The Kid - Cocaine Clouds (Official Video)","French The Kid","2026-06-19T16:00:06Z","8083","918","64","10","Music"
"x1SO--6JUmg","Spider-Man Brand New Day Trailer: Grey Hulk Breakdown","Emergency Awesome","2026-06-18T22:57:21Z","114683","4154","462","24","Entertainment"
"Pdo5Lm4BnWU","AI Builds The Best World Cup XI","More Chuff","2026-06-19T14:30:01Z","119169","2914","200","20","Gaming"
"GhJJObYGgdw","JUKEB - Fire in the Booth 🇬🇧","CharlieSloth","2026-06-18T17:00:06Z","23434","1615","312","10","Music"
"4EYUv8u7ir0","Can You Keep a SCORPION as a Pet?","EYstreem","2026-06-19T03:00:23Z","819268","10627","647","20","Gaming"
"7QJI947kw9k","Aayega Maza Ab Barsaat Ka | Superhit Romantic Rain Song | Andaaz","BollyTadka","2026-06-14T05:30:29Z","515923","756","6","24","Entertainment"
"QRqGwGwo1Y0","ALPHA | Official Trailer | Alia, Sharvari, Anil, Bobby, Shiv Rawail | YRF Spy Universe | 3 July 2026","YRF","2026-06-17T06:48:11Z","10070848","125588","19575","1","Film & Animation"
"Xnqqtf_MM-8","SHARKBITE FUN CHALLENGE!","BaconVrx","2026-06-17T07:25:37Z","1252240","7262",,"20","Gaming"
"tlRlavbg3sY","Full Video: Massa Massa | Peddi | Ram Charan | Buchi Babu | Janhvi | AR Rahman |Vishal Mishra","T-Series Telugu","2026-06-17T11:30:29Z","615459","33086","570","10","Music"
"62bIsvRcPv0","SPIDER-MAN: BRAND NEW DAY – New Trailer (4K)","Sony Pictures Entertainment","2026-06-17T18:58:31Z","5862363","356794","18050","24","Entertainment"
"yEXZWDj9A34","Doorbin Become Scary Entity in Minecraft..","Carry Depie","2026-06-17T11:44:17Z","832471","14784","952","20","Gaming"
"povZx9J8oec","Case (Official Video ) R Nait | Deepak Dhillon | New Punjabi Songs 2026","R Nait","2026-06-17T06:00:06Z","431762","29372","2086","10","Music"
"ZWtUQc5NLVg","Alpha Trailer REVIEW | Deeksha Sharma","Filmi Indian","2026-06-17T09:25:50Z","271014","11216","1099","24","Entertainment"
"GT9oSHk2h0M","🔴 GTA 5 LIVE – DON’T BLINK! SECRET MOD ACTIVATED 🤯 #gtalive #gtaonline","Pixel Hunters","2026-06-17T19:30:55Z","2682675","6304","1","20","Gaming"
